applicant_id,name,age,income,employment_status,credit_score,loan_amount,loan_purpose,existing_debt,approved
2363,Aarohi Reddy,30,712632,Self-Employed,692,565037,Education,216102,0
2364,Anika Reddy,35,448198,Salaried,650,946504,Medical,26801,0
2365,Myra Reddy,27,1578019,Salaried,651,1933633,Debt Consolidation,122056,0
2366,Sara Reddy,31,589573,Salaried,634,646084,Education,163096,0
2367,Aisha Reddy,25,529781,Contract,581,253019,Home Renovation,149282,0
2368,Aarav Gupta,37,299590,Unemployed,659,267709,Car Purchase,69499,0
2369,Vivaan Gupta,33,416106,Salaried,627,100000,Debt Consolidation,60031,1
2370,Aditya Gupta,34,412562,Salaried,639,110108,Education,73185,1
2371,Vihaan Gupta,31,791473,Salaried,684,756339,Debt Consolidation,376017,1
2372,Arjun Gupta,25,665983,Self-Employed,614,634670,Debt Consolidation,0,1
2373,Sai Gupta,25,206699,Self-Employed,691,264823,Car Purchase,76917,0
2374,Atharv Gupta,25,453710,Salaried,635,783717,Home Renovation,229402,0
2375,Ishaan Gupta,32,781563,Salaried,714,670601,Home Renovation,163269,1
2376,Ananya Gupta,35,1292822,Self-Employed,681,1589870,Home Renovation,330632,0
2377,Diya Gupta,27,756671,Salaried,633,743173,Medical,215240,0
2378,Aadhya Gupta,30,582450,Contract,600,463526,Business Expansion,184498,0
2379,Aarohi Gupta,44,397540,Salaried,775,743981,Car Purchase,234579,0
2380,Anika Gupta,37,796202,Self-Employed,616,100000,Home Renovation,253795,1
2381,Myra Gupta,27,281366,Contract,597,403175,Debt Consolidation,94596,0
2382,Sara Gupta,35,1477549,Self-Employed,631,1291023,Business Expansion,503986,0
2383,Aisha Gupta,36,227457,Self-Employed,640,141102,Education,87118,0
2384,Aarav Das,40,326379,Contract,586,244827,Car Purchase,115537,0
2385,Vivaan Das,36,395251,Salaried,643,291494,Business Expansion,31813,1
2386,Aditya Das,50,731208,Salaried,733,119354,Car Purchase,202390,1
2387,Vihaan Das,35,1261656,Self-Employed,609,1633616,Education,87427,0
2388,Arjun Das,48,788037,Salaried,718,862037,Medical,20614,1
2389,Sai Das,27,150000,Unemployed,627,100000,Business Expansion,70635,0
2390,Atharv Das,35,222982,Unemployed,604,160731,Education,79201,0
2391,Ishaan Das,27,347628,Salaried,652,186209,Car Purchase,124721,1
2392,Ananya Das,33,778734,Contract,637,604438,Education,81514,0
2393,Diya Das,32,888209,Self-Employed,599,614134,Home Renovation,140969,1
2394,Aadhya Das,36,590821,Salaried,618,700901,Medical,144325,0
2395,Aarohi Das,24,1083326,Salaried,640,908078,Education,106924,1
2396,Anika Das,27,435744,Contract,667,789706,Education,123301,0
2397,Myra Das,34,558315,Salaried,614,606812,Home Renovation,131445,0
2398,Sara Das,42,791473,Contract,639,1104334,Car Purchase,159550,0
2399,Aisha Das,31,307777,Self-Employed,607,100000,Car Purchase,57560,1
2400,Aarav Mehta,23,679163,Salaried,677,642066,Car Purchase,121795,0
2401,Vivaan Mehta,31,625959,Salaried,602,465078,Car Purchase,175017,0
2402,Aditya Mehta,31,655470,Salaried,669,352562,Car Purchase,209258,1
2403,Vihaan Mehta,30,584781,Salaried,673,211744,Business Expansion,159262,1
2404,Arjun Mehta,36,550541,Salaried,646,241360,Business Expansion,151712,1
2405,Sai Mehta,43,865472,Salaried,690,806745,Car Purchase,238267,1
2406,Atharv Mehta,24,421550,Salaried,593,706146,Medical,0,0
2407,Ishaan Mehta,31,342036,Contract,596,100000,Business Expansion,58351,1
2408,Ananya Mehta,27,242400,Contract,589,100000,Business Expansion,37361,1
2409,Diya Mehta,32,438037,Salaried,632,680267,Car Purchase,198154,0
2410,Aadhya Mehta,31,577874,Self-Employed,516,680894,Home Renovation,146244,0
2411,Aarohi Mehta,40,291382,Salaried,664,144545,Medical,91185,1
2412,Anika Mehta,33,847713,Salaried,713,1582152,Home Renovation,25219,0
2413,Myra Mehta,48,1127265,Self-Employed,681,657087,Medical,87047,1
2414,Sara Mehta,31,608565,Salaried,705,943271,Medical,127478,0
2415,Aisha Mehta,43,964526,Salaried,659,630372,Business Expansion,167740,1
2416,Aarav Bose,33,395687,Contract,576,585721,Education,160953,0
2417,Vivaan Bose,37,526481,Salaried,700,671890,Medical,50976,1
2418,Aditya Bose,25,484989,Salaried,592,100000,Medical,58818,1
2419,Vihaan Bose,21,473928,Salaried,656,543641,Car Purchase,0,1
2420,Arjun Bose,30,633849,Salaried,615,1261710,Car Purchase,30527,0
2421,Sai Bose,37,825497,Salaried,637,216761,Home Renovation,298610,1
2422,Atharv Bose,31,327796,Salaried,689,514884,Debt Consolidation,107302,0
2423,Ishaan Bose,36,474101,Salaried,669,817277,Car Purchase,0,0
2424,Ananya Bose,31,693365,Salaried,597,100000,Home Renovation,357081,1
2425,Diya Bose,52,542435,Salaried,625,718234,Education,92349,0
2426,Aadhya Bose,40,419372,Salaried,704,708894,Home Renovation,133227,0
2427,Aarohi Bose,26,479073,Salaried,667,803383,Medical,115783,0
2428,Anika Bose,37,256647,Contract,600,225354,Education,0,0
2429,Myra Bose,35,349186,Contract,605,489612,Education,151660,0
2430,Sara Bose,30,427142,Self-Employed,635,430256,Debt Consolidation,166878,0
2431,Aisha Bose,44,572918,Salaried,691,617402,Car Purchase,169974,0
2432,Aarav Nair,36,260680,Self-Employed,644,440454,Debt Consolidation,71130,0
2433,Vivaan Nair,22,850489,Self-Employed,579,570490,Education,164734,0
2434,Aditya Nair,44,349424,Salaried,640,396599,Car Purchase,67543,0
2435,Vihaan Nair,37,710876,Salaried,687,233097,Medical,142816,1
2436,Arjun Nair,44,212595,Unemployed,650,224889,Medical,141353,0
2437,Sai Nair,30,337377,Salaried,616,100000,Car Purchase,75040,1
2438,Atharv Nair,28,291763,Self-Employed,577,349383,Business Expansion,122714,0
2439,Ishaan Nair,28,609847,Salaried,675,651783,Car Purchase,95325,1
2440,Ananya Nair,51,253560,Contract,628,631423,Education,54256,0
2441,Diya Nair,40,687630,Contract,617,840134,Debt Consolidation,217422,0
2442,Aadhya Nair,50,536695,Salaried,724,1034429,Business Expansion,9735,0
2443,Aarohi Nair,43,702334,Salaried,675,833550,Car Purchase,249010,0
2444,Anika Nair,41,769614,Salaried,631,641941,Business Expansion,380397,0
2445,Myra Nair,41,230170,Self-Employed,680,373389,Car Purchase,0,0
2446,Sara Nair,35,256515,Salaried,575,117687,Home Renovation,37733,1
2447,Aisha Nair,21,335130,Self-Employed,689,368857,Debt Consolidation,44607,0
2448,Aarav Rao,30,454873,Salaried,608,348208,Education,118136,0
2449,Vivaan Rao,26,551638,Self-Employed,706,620041,Car Purchase,236422,0
2450,Aditya Rao,28,377083,Salaried,679,317727,Car Purchase,190062,0
2451,Vihaan Rao,34,526242,Salaried,625,895372,Medical,145180,0
2452,Arjun Rao,43,298453,Contract,568,402178,Debt Consolidation,29350,0
2453,Sai Rao,47,196666,Contract,532,257298,Home Renovation,20190,0
2454,Atharv Rao,37,322692,Salaried,650,289294,Medical,84006,1
2455,Ishaan Rao,32,325365,Salaried,669,100000,Car Purchase,101751,1
2456,Ananya Rao,34,698559,Salaried,651,603436,Home Renovation,187345,1
2457,Diya Rao,24,598660,Salaried,692,100000,Debt Consolidation,199433,1
2458,Aadhya Rao,34,407689,Salaried,635,279686,Medical,68400,1
2459,Aarohi Rao,21,1108524,Salaried,622,637982,Car Purchase,308576,1
2460,Anika Rao,43,786510,Unemployed,598,1065626,Medical,102459,0
2461,Myra Rao,51,665796,Salaried,671,630298,Debt Consolidation,144612,1
2462,Sara Rao,41,798664,Salaried,676,1250666,Home Renovation,155667,0
2463,Aisha Rao,33,535397,Self-Employed,705,425595,Home Renovation,53113,1
2464,Aarav Mishra,47,681958,Salaried,626,928896,Car Purchase,112578,0
2465,Vivaan Mishra,41,531346,Salaried,634,687163,Medical,28253,0
2466,Aditya Mishra,34,1589943,Self-Employed,663,1029139,Education,741983,0
2467,Vihaan Mishra,44,454669,Contract,594,794027,Car Purchase,142611,0
2468,Arjun Mishra,44,1076892,Salaried,727,1396366,Debt Consolidation,371489,0
2469,Sai Mishra,30,366979,Self-Employed,522,611598,Home Renovation,63043,0
2470,Atharv Mishra,26,660324,Salaried,618,431060,Business Expansion,236010,0
2471,Ishaan Mishra,42,370614,Salaried,698,313940,Education,138687,0
2472,Ananya Mishra,30,312153,Salaried,574,311836,Home Renovation,83636,0
2473,Diya Mishra,32,504147,Salaried,625,242572,Business Expansion,134578,1
2474,Aadhya Mishra,34,549866,Salaried,665,621824,Business Expansion,226076,0
2475,Aarohi Mishra,38,828519,Salaried,630,643191,Debt Consolidation,61603,1
2476,Anika Mishra,39,284309,Salaried,742,296126,Education,18925,1
2477,Myra Mishra,32,548245,Salaried,588,416166,Debt Consolidation,258780,0
2478,Sara Mishra,53,314984,Self-Employed,693,434323,Medical,88145,0
2479,Aisha Mishra,21,248606,Contract,580,317529,Car Purchase,40587,0
2480,Aarav Chopra,33,804446,Self-Employed,664,759720,Home Renovation,328344,0
2481,Vivaan Chopra,50,390853,Self-Employed,628,243351,Car Purchase,75729,1
2482,Aditya Chopra,30,328955,Salaried,671,283674,Home Renovation,50941,1
2483,Vihaan Chopra,43,416531,Salaried,723,351625,Business Expansion,190286,1
2484,Arjun Chopra,28,242481,Contract,578,162565,Debt Consolidation,86709,0
2485,Sai Chopra,36,613815,Salaried,748,239158,Debt Consolidation,154266,1
2486,Atharv Chopra,34,516307,Salaried,612,801632,Home Renovation,187618,0
2487,Ishaan Chopra,35,573276,Salaried,708,104183,Business Expansion,271159,1
2488,Ananya Chopra,39,1076456,Self-Employed,704,932246,Car Purchase,0,1
2489,Diya Chopra,33,682611,Salaried,672,510353,Education,193108,1
2490,Aadhya Chopra,33,263638,Contract,646,122718,Car Purchase,123354,0
2491,Aarohi Chopra,42,418577,Salaried,688,100000,Home Renovation,107120,1
2492,Anika Chopra,32,475544,Salaried,625,307080,Car Purchase,109666,1
2493,Myra Chopra,42,980786,Salaried,727,1272700,Debt Consolidation,189007,1
2494,Sara Chopra,28,622262,Salaried,692,933928,Car Purchase,229872,0
2495,Aisha Chopra,33,671274,Salaried,639,391421,Medical,32082,1
2496,Aarav Ghosh,39,793398,Self-Employed,676,300565,Business Expansion,80091,1
2497,Vivaan Ghosh,46,315821,Self-Employed,655,210086,Car Purchase,57457,1
2498,Aditya Ghosh,42,517062,Contract,650,528315,Education,216218,0
2499,Vihaan Ghosh,34,230540,Unemployed,573,260900,Education,86104,0
2500,Arjun Ghosh,31,677790,Salaried,633,148315,Medical,256448,1
2501,Sai Ghosh,21,637328,Salaried,666,631410,Home Renovation,130521,0
2502,Atharv Ghosh,44,566210,Salaried,721,241273,Home Renovation,39707,1
2503,Ishaan Ghosh,38,458750,Salaried,687,527577,Debt Consolidation,86308,1
2504,Ananya Ghosh,47,412869,Contract,625,173628,Medical,116352,1
2505,Diya Ghosh,52,350861,Self-Employed,662,448681,Home Renovation,16062,0
2506,Aadhya Ghosh,27,625975,Salaried,633,442119,Debt Consolidation,86799,1
2507,Aarohi Ghosh,29,150000,Unemployed,632,152950,Debt Consolidation,61353,0
2508,Anika Ghosh,45,443330,Salaried,630,748977,Home Renovation,143255,0
2509,Myra Ghosh,25,379271,Self-Employed,579,653091,Medical,72200,0
2510,Sara Ghosh,31,150000,Unemployed,631,162093,Medical,80726,0
2511,Aisha Ghosh,31,651333,Salaried,629,1143764,Medical,211063,0
2512,Aarav Sharma,36,287108,Contract,576,100000,Home Renovation,130107,0
2513,Vivaan Sharma,34,501087,Salaried,674,694802,Car Purchase,109226,0
2514,Aditya Sharma,21,462050,Salaried,644,679447,Home Renovation,157599,0
2515,Vihaan Sharma,45,429989,Salaried,716,100000,Business Expansion,123170,1
2516,Arjun Sharma,34,426435,Self-Employed,665,318283,Home Renovation,17217,1
2517,Sai Sharma,36,1009338,Self-Employed,618,1687100,Business Expansion,413859,0
2518,Atharv Sharma,21,780112,Salaried,615,707874,Car Purchase,190159,0
2519,Ishaan Sharma,53,426169,Salaried,648,483257,Home Renovation,148545,0
2520,Ananya Sharma,34,967703,Salaried,652,1503742,Education,321517,0
2521,Diya Sharma,53,928242,Self-Employed,679,588013,Debt Consolidation,522972,0
2522,Aadhya Sharma,42,635310,Salaried,690,1198143,Debt Consolidation,90154,0
2523,Aarohi Sharma,32,792556,Salaried,653,178321,Debt Consolidation,285334,1
2524,Anika Sharma,43,445805,Salaried,650,338605,Business Expansion,0,1
2525,Myra Sharma,45,368105,Salaried,699,295763,Business Expansion,132669,1
2526,Sara Sharma,30,436269,Salaried,673,540745,Business Expansion,0,0
2527,Aisha Sharma,26,421654,Self-Employed,672,453417,Business Expansion,113741,0
2528,Aarav Verma,29,535127,Salaried,687,592740,Business Expansion,215001,0
2529,Vivaan Verma,35,564347,Salaried,680,1012905,Home Renovation,52231,0
2530,Aditya Verma,22,428462,Salaried,664,637463,Debt Consolidation,145340,0
2531,Vihaan Verma,50,412043,Salaried,705,544429,Home Renovation,0,1
2532,Arjun Verma,44,400078,Salaried,592,783607,Business Expansion,80797,0
2533,Sai Verma,54,616603,Salaried,587,440978,Business Expansion,95892,0
2534,Atharv Verma,40,448024,Salaried,666,332506,Medical,137413,0
2535,Ishaan Verma,46,410029,Salaried,670,649371,Car Purchase,50697,0
2536,Ananya Verma,21,710878,Salaried,618,801036,Business Expansion,90703,0
2537,Diya Verma,36,783250,Salaried,665,992287,Medical,0,0
2538,Aadhya Verma,47,519396,Salaried,702,512639,Home Renovation,112591,1
2539,Aarohi Verma,25,574371,Salaried,595,254402,Education,83759,1
2540,Anika Verma,36,621491,Salaried,676,471177,Medical,228456,0
2541,Myra Verma,30,760679,Contract,627,338731,Debt Consolidation,222034,0
2542,Sara Verma,34,1209674,Self-Employed,571,472883,Medical,161046,1
2543,Aisha Verma,22,613875,Self-Employed,608,193734,Business Expansion,130827,1
2544,Aarav Iyer,31,251293,Unemployed,615,100000,Home Renovation,79304,0
2545,Vivaan Iyer,35,271942,Contract,653,100000,Debt Consolidation,52184,1
2546,Aditya Iyer,50,371013,Salaried,714,205654,Car Purchase,103969,1
2547,Vihaan Iyer,22,411435,Salaried,680,664605,Debt Consolidation,72424,0
2548,Arjun Iyer,37,1517620,Self-Employed,667,532632,Debt Consolidation,23238,1
2549,Sai Iyer,28,702557,Salaried,634,516170,Business Expansion,0,1
2550,Atharv Iyer,35,300757,Contract,620,146236,Home Renovation,25766,0
2551,Ishaan Iyer,40,306129,Salaried,669,159124,Business Expansion,142682,1
2552,Ananya Iyer,42,661400,Self-Employed,705,610959,Medical,201932,0
2553,Diya Iyer,38,629441,Self-Employed,613,100000,Education,154100,1
2554,Aadhya Iyer,39,457213,Salaried,591,762907,Medical,122006,0
2555,Aarohi Iyer,25,623469,Salaried,630,100000,Car Purchase,93101,1
2556,Anika Iyer,21,481273,Salaried,637,840237,Home Renovation,255262,0
2557,Myra Iyer,34,379279,Self-Employed,619,466847,Car Purchase,91228,0
2558,Sara Iyer,35,189052,Contract,605,296329,Car Purchase,89681,0
2559,Aisha Iyer,36,368953,Salaried,632,198112,Business Expansion,5262,1
2560,Aarav Kumar,28,861750,Salaried,640,472808,Car Purchase,356439,0
2561,Vivaan Kumar,41,568796,Salaried,671,1184827,Home Renovation,189835,0
2562,Aditya Kumar,38,168803,Unemployed,631,117837,Car Purchase,34404,0
2563,Vihaan Kumar,37,662832,Self-Employed,693,509595,Education,105060,1
2564,Arjun Kumar,36,230974,Self-Employed,690,310356,Debt Consolidation,23221,0
2565,Sai Kumar,36,1165520,Salaried,662,1884171,Medical,373800,0
2566,Atharv Kumar,36,660985,Salaried,644,1292861,Business Expansion,104851,0
2567,Ishaan Kumar,41,171805,Unemployed,544,367318,Education,27581,0
2568,Ananya Kumar,32,358574,Contract,618,376378,Debt Consolidation,57242,0
2569,Diya Kumar,51,150000,Unemployed,671,216493,Debt Consolidation,12515,0
2570,Aadhya Kumar,36,475017,Self-Employed,660,100000,Medical,88093,1
2571,Aarohi Kumar,28,611158,Salaried,583,803549,Debt Consolidation,144608,0
2572,Anika Kumar,27,409469,Salaried,707,269673,Medical,58237,1
2573,Myra Kumar,29,698146,Salaried,600,1322435,Education,81037,0
2574,Sara Kumar,26,643299,Salaried,612,727276,Medical,229197,0
2575,Aisha Kumar,42,439687,Salaried,739,614445,Education,83422,1
2576,Aarav Patel,21,1014459,Salaried,702,2074471,Car Purchase,0,0
2577,Vivaan Patel,50,773582,Salaried,609,781458,Home Renovation,183780,0
2578,Aditya Patel,34,431759,Salaried,639,304982,Medical,0,1
2579,Vihaan Patel,40,882831,Self-Employed,660,1025276,Education,111508,0
2580,Arjun Patel,41,435343,Salaried,669,170590,Business Expansion,181724,1
2581,Sai Patel,42,677457,Salaried,675,294325,Education,276462,1
2582,Atharv Patel,36,720784,Self-Employed,623,962927,Debt Consolidation,113505,0
2583,Ishaan Patel,34,639228,Salaried,684,556143,Education,171262,1
2584,Ananya Patel,46,602704,Self-Employed,590,867204,Business Expansion,55525,0
2585,Diya Patel,21,753366,Self-Employed,630,681122,Medical,357330,0
2586,Aadhya Patel,32,1031910,Salaried,609,1152576,Education,0,0
2587,Aarohi Patel,40,511013,Salaried,709,760163,Education,168417,0
2588,Anika Patel,33,521832,Self-Employed,651,856753,Business Expansion,74357,0
2589,Myra Patel,30,689383,Salaried,660,603927,Home Renovation,9098,1
2590,Sara Patel,55,996544,Self-Employed,711,856465,Car Purchase,387075,0
2591,Aisha Patel,35,302051,Contract,658,100000,Business Expansion,88594,1
2592,Aarav Singh,40,881611,Salaried,701,583324,Business Expansion,374178,1
2593,Vivaan Singh,26,1140854,Self-Employed,592,100000,Car Purchase,318804,1
2594,Aditya Singh,37,1254074,Self-Employed,670,1720593,Education,497714,0
2595,Vihaan Singh,23,336699,Unemployed,587,438926,Business Expansion,60873,0
2596,Arjun Singh,39,344930,Salaried,652,209458,Business Expansion,85634,1
2597,Sai Singh,25,684489,Salaried,672,362995,Business Expansion,343344,0
2598,Atharv Singh,33,837627,Salaried,645,190119,Education,243356,1
2599,Ishaan Singh,40,637451,Self-Employed,610,424256,Home Renovation,102883,1
2600,Ananya Singh,39,1386554,Salaried,658,2750475,Car Purchase,153944,0
2601,Diya Singh,45,347519,Salaried,725,100000,Medical,146529,1
2602,Aadhya Singh,32,350285,Salaried,642,135418,Medical,30421,1
2603,Aarohi Singh,50,478822,Salaried,651,558284,Education,66936,0
2604,Anika Singh,26,1067487,Salaried,682,1149799,Home Renovation,143026,1
2605,Myra Singh,31,1123483,Contract,582,1798940,Car Purchase,111556,0
2606,Sara Singh,31,282936,Salaried,682,568606,Education,77437,0
2607,Aisha Singh,35,1013929,Self-Employed,614,1492371,Home Renovation,207979,0
2608,Aarav Reddy,31,496717,Salaried,668,651782,Business Expansion,0,0
2609,Vivaan Reddy,30,722928,Salaried,677,1240759,Debt Consolidation,195552,0
2610,Aditya Reddy,36,150000,Unemployed,661,100000,Medical,21413,0
2611,Vihaan Reddy,36,542262,Salaried,648,675679,Debt Consolidation,240596,0
2612,Arjun Reddy,39,731007,Salaried,653,160230,Medical,191649,1
2613,Sai Reddy,40,402877,Salaried,617,340452,Business Expansion,102075,0
2614,Atharv Reddy,25,1197658,Salaried,637,880732,Business Expansion,280404,0
2615,Ishaan Reddy,25,466509,Salaried,608,966477,Car Purchase,109431,0
2616,Ananya Reddy,35,457968,Salaried,646,527136,Home Renovation,123440,0
2617,Diya Reddy,21,200523,Salaried,699,173208,Debt Consolidation,38378,0
2618,Aadhya Reddy,40,450677,Salaried,697,656046,Debt Consolidation,111142,0
2619,Aarohi Reddy,34,705450,Salaried,645,1186068,Debt Consolidation,164711,0
2620,Anika Reddy,29,967889,Salaried,596,446418,Home Renovation,380993,0
2621,Myra Reddy,38,373514,Salaried,701,598490,Debt Consolidation,134385,0
2622,Sara Reddy,35,388002,Salaried,602,422384,Debt Consolidation,70211,0
2623,Aisha Reddy,29,416499,Salaried,588,396402,Debt Consolidation,73955,0
2624,Aarav Gupta,32,338395,Unemployed,653,494098,Medical,124742,0
2625,Vivaan Gupta,40,661518,Salaried,663,625898,Car Purchase,223749,0
2626,Aditya Gupta,44,794764,Salaried,700,896599,Medical,133402,1
2627,Vihaan Gupta,37,344320,Salaried,671,391049,Home Renovation,83616,0
2628,Arjun Gupta,35,353954,Contract,648,359364,Car Purchase,115990,0
2629,Sai Gupta,41,879870,Self-Employed,663,547386,Business Expansion,157007,1
2630,Atharv Gupta,26,495356,Contract,546,501742,Car Purchase,150419,0
2631,Ishaan Gupta,22,659833,Salaried,643,900961,Debt Consolidation,75796,0
2632,Ananya Gupta,43,654623,Salaried,668,300071,Debt Consolidation,171535,1
2633,Diya Gupta,23,1252271,Self-Employed,640,1822911,Debt Consolidation,75493,0
2634,Aadhya Gupta,27,589683,Salaried,661,450629,Home Renovation,73033,1
2635,Aarohi Gupta,21,468634,Salaried,729,306329,Debt Consolidation,177610,1
2636,Anika Gupta,44,394275,Contract,558,1027957,Business Expansion,40699,0
2637,Myra Gupta,36,715111,Salaried,675,573865,Debt Consolidation,183707,1
2638,Sara Gupta,33,348138,Salaried,683,254187,Business Expansion,106310,1
2639,Aisha Gupta,39,529618,Salaried,631,1018538,Debt Consolidation,67978,0
2640,Aarav Das,36,441231,Salaried,586,470955,Car Purchase,104207,0
2641,Vivaan Das,32,482468,Contract,654,659101,Debt Consolidation,57333,0
2642,Aditya Das,36,293858,Salaried,722,275723,Medical,98066,1
2643,Vihaan Das,42,390306,Self-Employed,636,401812,Business Expansion,106084,0
2644,Arjun Das,31,414335,Salaried,659,366362,Debt Consolidation,203104,0
2645,Sai Das,21,644703,Unemployed,558,513759,Medical,194139,0
2646,Atharv Das,53,359983,Contract,691,542831,Business Expansion,216547,0
2647,Ishaan Das,34,1029816,Contract,549,2189884,Debt Consolidation,220571,0
2648,Ananya Das,36,450113,Salaried,661,1131290,Education,197402,0
2649,Diya Das,21,977541,Self-Employed,591,834974,Medical,838615,0
2650,Aadhya Das,39,669879,Salaried,705,336798,Home Renovation,305523,1
2651,Aarohi Das,35,642938,Salaried,660,967885,Debt Consolidation,254437,0
2652,Anika Das,28,352656,Salaried,643,300372,Business Expansion,53387,1
2653,Myra Das,36,293758,Salaried,613,214064,Medical,0,1
2654,Sara Das,33,439162,Salaried,646,100000,Debt Consolidation,109632,1
2655,Aisha Das,38,1089061,Self-Employed,710,1462222,Car Purchase,322129,0
2656,Aarav Mehta,40,735819,Salaried,616,1206487,Education,168142,0
2657,Vivaan Mehta,42,637285,Salaried,672,1002597,Medical,276899,0
2658,Aditya Mehta,44,835386,Salaried,699,1357305,Car Purchase,372120,0
2659,Vihaan Mehta,47,792292,Self-Employed,675,701845,Home Renovation,32963,1
2660,Arjun Mehta,32,507232,Self-Employed,672,235158,Medical,34693,1
2661,Sai Mehta,32,898484,Salaried,629,100000,Debt Consolidation,401000,1
2662,Atharv Mehta,46,562720,Salaried,761,258604,Education,165179,1
2663,Ishaan Mehta,37,337215,Salaried,671,154445,Education,55902,1
2664,Ananya Mehta,29,499509,Salaried,641,307963,Home Renovation,167343,1
2665,Diya Mehta,34,588491,Salaried,621,509860,Medical,132469,1
2666,Aadhya Mehta,21,481407,Salaried,683,393974,Medical,213739,0
2667,Aarohi Mehta,48,418519,Salaried,672,562121,Debt Consolidation,198227,0
2668,Anika Mehta,36,621164,Salaried,596,100000,Education,135694,1
2669,Myra Mehta,39,818580,Salaried,617,1587981,Home Renovation,260665,0
2670,Sara Mehta,36,740828,Salaried,747,1442589,Car Purchase,108896,0
2671,Aisha Mehta,32,1207316,Self-Employed,664,1082927,Medical,551502,0
2672,Aarav Bose,21,536213,Salaried,647,466887,Education,200943,0
2673,Vivaan Bose,35,600684,Salaried,655,965713,Education,118350,0
2674,Aditya Bose,30,446919,Salaried,675,639699,Medical,88778,0
2675,Vihaan Bose,34,597921,Salaried,638,328512,Debt Consolidation,3666,1
2676,Arjun Bose,39,411665,Salaried,633,782872,Home Renovation,101835,0
2677,Sai Bose,43,767630,Salaried,629,271982,Business Expansion,257822,1
2678,Atharv Bose,44,217786,Unemployed,553,100000,Medical,31390,0
2679,Ishaan Bose,40,468898,Contract,693,360804,Medical,108491,0
2680,Ananya Bose,43,848175,Self-Employed,655,885489,Car Purchase,314536,0
2681,Diya Bose,41,880917,Salaried,685,712554,Education,209686,1
2682,Aadhya Bose,25,255438,Self-Employed,554,100000,Education,95157,0
2683,Aarohi Bose,42,514881,Salaried,675,545501,Debt Consolidation,38760,1
2684,Anika Bose,24,753118,Salaried,600,1345489,Home Renovation,40833,0
2685,Myra Bose,31,444484,Salaried,627,712551,Debt Consolidation,146885,0
2686,Sara Bose,31,487853,Salaried,649,526302,Education,203004,0
2687,Aisha Bose,39,152573,Unemployed,614,163222,Business Expansion,0,0
2688,Aarav Nair,41,431425,Self-Employed,642,172581,Home Renovation,0,1
2689,Vivaan Nair,27,883333,Salaried,611,1043014,Car Purchase,71365,0
2690,Aditya Nair,38,457195,Salaried,612,544107,Home Renovation,200741,0
2691,Vihaan Nair,36,327471,Contract,578,516919,Home Renovation,13376,0
2692,Arjun Nair,21,556526,Salaried,590,316586,Medical,223132,1
2693,Sai Nair,27,201775,Contract,558,162842,Car Purchase,78460,0
2694,Atharv Nair,34,742383,Salaried,552,1068662,Education,415238,0
2695,Ishaan Nair,33,479113,Contract,573,243137,Car Purchase,178052,0
2696,Ananya Nair,24,478533,Salaried,721,674147,Medical,144457,0
2697,Diya Nair,38,520925,Self-Employed,716,200025,Home Renovation,169781,1
2698,Aadhya Nair,34,452393,Self-Employed,613,162963,Business Expansion,10894,1
2699,Aarohi Nair,42,537854,Salaried,707,635064,Debt Consolidation,118587,0
2700,Anika Nair,24,485063,Salaried,576,664160,Medical,0,0
2701,Myra Nair,35,497764,Salaried,703,865164,Car Purchase,85739,0
2702,Sara Nair,28,1184349,Self-Employed,667,261441,Debt Consolidation,198750,1
2703,Aisha Nair,37,649093,Salaried,775,100000,Car Purchase,321336,1
2704,Aarav Rao,28,686582,Self-Employed,651,797520,Debt Consolidation,60465,0
2705,Vivaan Rao,25,739344,Contract,611,443079,Home Renovation,0,0
2706,Aditya Rao,43,570707,Self-Employed,618,342068,Home Renovation,72599,1
2707,Vihaan Rao,41,257503,Contract,609,238120,Car Purchase,106172,0
2708,Arjun Rao,42,441987,Contract,677,451119,Debt Consolidation,134804,0
2709,Sai Rao,33,873284,Salaried,646,987026,Home Renovation,289094,0
2710,Atharv Rao,26,602416,Self-Employed,643,759488,Debt Consolidation,258785,0
2711,Ishaan Rao,30,221660,Unemployed,533,100000,Education,32230,0
2712,Ananya Rao,44,506766,Salaried,645,355253,Home Renovation,88838,1
2713,Diya Rao,52,958551,Salaried,633,1013520,Education,338396,0
2714,Aadhya Rao,26,627648,Salaried,679,723142,Debt Consolidation,72351,1
2715,Aarohi Rao,33,370378,Salaried,592,665068,Debt Consolidation,130129,0
2716,Anika Rao,38,611860,Salaried,642,100000,Home Renovation,235098,1
2717,Myra Rao,32,481770,Salaried,726,643228,Home Renovation,204242,1
2718,Sara Rao,31,942347,Salaried,692,881060,Car Purchase,134090,1
2719,Aisha Rao,35,296196,Contract,658,426286,Debt Consolidation,91628,0
2720,Aarav Mishra,30,652512,Salaried,611,973117,Medical,328003,0
2721,Vivaan Mishra,24,308995,Salaried,587,618538,Debt Consolidation,122765,0
2722,Aditya Mishra,24,252132,Salaried,679,319272,Debt Consolidation,7193,1
2723,Vihaan Mishra,38,345047,Contract,585,147479,Debt Consolidation,53872,0
2724,Arjun Mishra,39,557870,Salaried,674,853619,Home Renovation,78955,0
2725,Sai Mishra,24,523496,Salaried,682,1171198,Home Renovation,140026,0
2726,Atharv Mishra,33,150000,Contract,573,100000,Education,0,0
